Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,Inflation_YoY,VIX_relative,VIX_spike,Treasury_10Y_change,CPI
2000-12-01,-1.977987186788677,27.838,5.52,-0.1,3.388822829964333,1.0740797901072614,0,-0.1100000000000003,173.9
2000-12-08,4.155929760680066,25.118,5.35,-0.15,3.388822829964333,0.9362082782012336,0,-0.1699999999999999,173.9
2000-12-15,-4.214936207794251,24.686,5.2,-0.18,3.444180522565321,0.9291629027401384,0,-0.1499999999999994,174.2
2000-12-22,-0.4725125272894148,28.764,5.02,-0.08,3.444180522565321,1.1001510776233003,0,-0.1800000000000006,174.2
2000-12-29,1.0972915242380532,27.5725,5.12,0.01,3.444180522565321,1.0365017010318966,0,0.1000000000000005,174.2
2001-01-05,-1.6610153319229215,28.0575,4.93,0.37,3.444180522565321,1.0573720681549457,0,-0.1900000000000004,174.2
2001-01-12,1.555826519969794,26.996,5.25,0.35,3.444180522565321,0.98995232856619,0,0.3200000000000003,174.2
2001-01-19,1.819422042848995,24.205,5.19,0.44,3.376777251184837,0.8691983122362869,0,-0.0599999999999996,174.5
2001-01-26,0.9243606706911268,22.412,5.29,0.51,3.376777251184837,0.8391571734796079,0,0.0999999999999996,174.5
2001-02-02,-0.4044415414761637,22.162,5.17,0.52,3.376777251184837,0.8719146655126118,0,-0.1200000000000001,174.5
2001-02-09,-2.572118067911866,21.866000000000003,5.03,0.36,3.376777251184837,0.913223701383451,0,-0.1399999999999996,174.5
2001-02-16,-1.006265810526774,21.44,5.11,0.36,3.376777251184837,0.9461084450328204,0,0.08,174.5
2001-02-23,-4.277276950374098,26.1025,5.1,0.57,3.903015966883494,1.188097405553027,0,-0.0100000000000006,175.7
2001-03-02,-0.9374995407151698,27.156,4.95,0.47,3.903015966883494,1.1862335577505856,0,-0.1499999999999994,175.7
2001-03-09,-0.0615801368155199,25.408,4.95,0.48,3.903015966883494,1.0524778774808548,0,0.0,175.7
2001-03-16,-6.72033951899299,29.19,4.78,0.52,3.903015966883494,1.1663578289122083,0,-0.1699999999999999,175.7
2001-03-23,-0.9300125133393178,31.192,4.8,0.56,3.6470588235294032,1.1567962987858869,0,0.0199999999999995,176.2
2001-03-30,1.7985138828038094,28.494,4.93,0.75,3.6470588235294032,1.009119402192198,0,0.1299999999999999,176.2
2001-04-06,-2.749209582782375,32.326,4.89,0.82,3.6470588235294032,1.1314269714045713,0,-0.04,176.2
2001-04-13,4.880226834437851,28.9825,5.17,0.81,3.6470588235294032,0.9565023679477236,0,0.2800000000000002,176.2
2001-04-20,5.025769367870714,25.122,5.29,1.03,2.978971962616828,0.8305170896197761,0,0.1200000000000001,176.3
2001-04-27,0.8101553136501405,26.806,5.34,1.06,2.978971962616828,0.932995140287754,0,0.0499999999999998,176.3
2001-05-04,1.0821544228116764,24.72,5.21,1.07,2.978971962616828,0.8732166748354109,0,-0.1299999999999999,176.3
2001-05-11,-1.6532272481996846,24.238,5.51,1.15,2.978971962616828,0.9178409644941564,0,0.2999999999999998,176.3
2001-05-18,3.716065680248448,22.512,5.41,1.04,3.2710280373831946,0.8925718137303492,0,-0.0999999999999996,176.8
2001-05-25,-1.0890388800325337,21.072,5.52,1.21,3.2710280373831946,0.8576661646790671,0,0.1099999999999994,176.8
2001-06-01,-1.3475315172458258,22.2825,5.39,1.17,3.2710280373831946,0.9631302543709882,0,-0.1299999999999999,176.8
2001-06-08,0.3402886435503793,20.188,5.38,1.21,3.2710280373831946,0.8962038521938416,0,-0.0099999999999997,176.8
2001-06-15,-4.000124679712103,21.756,5.27,1.26,3.6193812025685945,1.0112661162402896,0,-0.1100000000000003,177.5
2001-06-22,0.9050026653499632,21.324,5.14,1.21,3.6193812025685945,0.9999706911610404,0,-0.1299999999999999,177.5
2001-06-29,-0.0791586667034605,20.364,5.42,1.17,3.6193812025685945,0.9521393796646426,0,0.2800000000000002,177.5
2001-07-06,-2.7597673049009064,19.85,5.41,1.25,3.6193812025685945,0.9493973598622536,0,-0.0099999999999997,177.5
2001-07-13,2.1073659791293498,22.594,5.27,1.15,3.6193812025685945,1.0850241313900162,0,-0.1400000000000005,177.5
2001-07-20,-0.3973149111277996,22.794,5.15,1.17,3.2501450957632017,1.0837255740978462,0,-0.1199999999999992,177.9
2001-07-27,-0.4154130898372354,23.598,5.13,1.26,3.2501450957632017,1.102684516716899,0,-0.0200000000000004,177.9
2001-08-03,0.7074048926729359,20.97,5.2,1.29,3.2501450957632017,0.9442118060245844,0,0.0700000000000002,177.9
2001-08-10,-1.9920074025264525,21.504,4.99,1.26,3.2501450957632017,0.9562008092845392,0,-0.2099999999999999,177.9
2001-08-17,-2.368594362689413,21.438,4.84,1.17,2.7214823393167498,0.964958476807778,0,-0.1500000000000003,177.4
2001-08-24,1.9759618223110345,22.33,4.93,1.17,2.7214823393167498,1.0206833504742316,0,0.0899999999999998,177.4
2001-08-31,-4.333597371037468,23.184,4.85,1.21,2.7214823393167498,1.0752997379467082,0,-0.08,177.4
2001-09-07,-4.2167230024228175,27.95,4.8,1.27,2.7214823393167498,1.2639052184136743,0,-0.0499999999999998,177.4
2001-09-14,0.6225947782446006,31.84,4.84,1.31,2.7214823393167498,1.3420159743735645,0,0.04,177.4
2001-09-21,-11.600494877815724,41.518,4.7,1.79,2.7793862188766782,1.5770720960267417,1,-0.1399999999999996,177.5
2001-09-28,7.78007398664291,34.95,4.6,1.74,2.838933951332568,1.1229637245766797,0,-0.1000000000000005,177.5
2001-10-05,2.924286240322349,32.04,4.52,1.81,2.7793862188766782,0.9405686271631758,0,-0.08,177.5
2001-10-12,1.8919542495537955,33.3,4.68,1.87,2.7793862188766782,0.9490694559238464,0,0.1600000000000001,177.5
2001-10-19,-1.6644568807723137,34.466,4.63,1.86,3.1847133757961776,0.9721877468125918,0,-0.0499999999999998,178.2
2001-10-26,2.899914805045478,30.616000000000003,4.53,1.9,2.6497695852534475,0.9087832823770372,0,-0.0999999999999996,178.2
2001-11-02,-1.5761250043513253,32.336,4.37,1.89,2.6497695852534475,0.9917345233166184,0,-0.1600000000000001,178.2
2001-11-09,3.0454478393037165,28.898000000000003,4.34,1.89,2.6497695852534475,0.8842852552823636,0,-0.0300000000000002,178.2
2001-11-16,1.6370437522745585,25.915,4.91,1.82,2.304147465437789,0.8206402989328351,0,0.5700000000000003,177.6
2001-11-23,1.0266492034956445,24.005000000000003,5.04,1.84,2.304147465437789,0.815352609009468,0,0.1299999999999999,177.6
2001-11-30,-0.9466779362631071,24.542,4.78,1.94,2.127659574468077,0.8831710959569607,0,-0.2599999999999998,177.6
2001-12-07,1.655194017295636,24.014,5.2,2.01,2.127659574468077,0.9293343653250772,0,0.4199999999999999,177.6
2001-12-14,-3.0406446453721148,25.266,5.24,2.04,2.127659574468077,1.026280515049352,0,0.04,177.6
2001-12-21,1.9410776956058085,23.26,5.12,1.95,2.127659574468077,0.951066678933219,0,-0.1200000000000001,177.6
2001-12-28,1.40886938277347,21.975,5.15,1.99,1.9517795637198576,0.9054201602768792,0,0.0300000000000002,177.6
2002-01-04,0.989646176731207,22.075,5.18,1.99,1.9517795637198576,0.9342432418134688,0,0.0299999999999993,177.6
2002-01-11,-2.2950792705869194,22.172,4.92,2.16,1.9517795637198576,0.9580020739716558,0,-0.2599999999999998,177.6
2002-01-18,-1.5729765987497757,22.9,4.94,2.03,1.7795637198622316,1.0236695648286809,0,0.0200000000000004,177.3
2002-01-25,0.5055138849870744,21.9125,5.1,1.93,1.6045845272206316,0.9834833150063956,0,0.1599999999999992,177.3
2002-02-01,-0.9776999363409256,22.184,5.02,1.94,1.6045845272206316,0.9963675969436164,0,-0.08,177.3
2002-02-08,-2.315093708712068,24.956,4.9,1.95,1.6045845272206316,1.119498477601395,0,-0.1199999999999992,177.3
2002-02-15,0.7261392075083917,21.678,4.86,1.89,1.6045845272206316,0.9430086185802454,0,-0.04,177.3
