Date,SP500_Returns,VIX,Treasury_10Y,Yield_Spread,Inflation_YoY,CPI
1991-01-11,-1.797504365629865,31.318,8.2,1.06,6.279809220985677,133.7
1991-01-18,5.392887544814795,31.68,8.03,0.89,6.597774244833077,134.1
1991-01-25,1.1558246428401864,23.47,8.06,0.96,6.175771971496435,134.1
1991-02-01,2.0769423979022816,21.908,7.91,1.08,6.175771971496435,134.1
1991-02-08,4.751499457969355,22.596,7.77,0.97,6.175771971496435,134.1
1991-02-15,2.7020985919452123,21.346,7.78,0.96,6.175771971496435,134.1
1991-02-22,-0.923970000722707,20.9725,7.91,0.93,6.730007917656389,134.8
1991-03-01,0.3883531933372319,21.4325,8.02,0.98,5.5599060297572445,134.8
1991-03-08,2.1467307940123748,20.744,8.13,1.05,5.5599060297572445,134.8
1991-03-15,-0.3627192491967967,17.125999999999998,8.1,1.09,5.5599060297572445,134.8
1991-03-22,-1.6354788435063885,16.258,8.13,1.0,5.794831636648379,135.1
1991-03-29,2.1062343537001205,16.625,8.05,1.03,5.300077942322679,135.1
1991-04-05,0.0373072145418484,17.613999999999997,7.99,1.07,5.300077942322679,135.1
1991-04-12,1.342713326302314,18.59,7.98,1.1,5.222135619641466,135.0
1991-04-19,0.9989533048154976,15.946000000000002,8.1,1.07,5.222135619641466,135.0
1991-04-26,-1.3482621105613268,16.988,8.06,1.17,4.732350659425899,135.0
1991-05-03,0.469631900926637,17.808,8.04,1.24,4.732350659425899,135.0
1991-05-10,-1.3287809140752227,17.574,8.12,1.25,4.732350659425899,135.0
1991-05-17,-0.891567486294953,17.584,8.08,1.22,4.965089216446872,135.3
1991-05-24,1.369525332399757,16.134,8.1,1.41,4.802478698683199,135.3
1991-05-31,3.268959881619371,15.88,8.06,1.38,4.802478698683199,135.3
1991-06-07,-2.667828092941349,16.669999999999998,8.29,1.31,4.802478698683199,135.3
1991-06-14,0.7537664191940907,17.095999999999997,8.29,1.27,5.112316034082109,135.7
1991-06-21,-1.187582317989977,16.468,8.32,1.38,4.949729311678253,135.7
1991-06-28,-1.744539070255624,18.306,8.24,1.34,4.949729311678253,135.7
1991-07-05,0.7867180949848507,18.5225,8.34,1.3,4.949729311678253,135.7
1991-07-12,1.6493834605456614,18.984,8.26,1.38,4.949729311678253,135.7
1991-07-19,1.044050288153353,16.812,8.28,1.39,5.181747873163167,136.0
1991-07-26,-0.8562824773487132,16.216,8.2,1.35,4.615384615384621,136.0
1991-08-02,1.640721423928282,15.41,8.06,1.37,4.615384615384621,136.0
1991-08-09,-0.0154960379484259,15.69,7.98,1.49,4.615384615384621,136.0
1991-08-16,-0.3978116770888329,15.256,7.84,1.53,4.846153846153856,136.3
1991-08-23,2.2278196884212065,16.934,7.88,1.42,4.444444444444451,136.3
1991-08-30,0.3196537547567324,14.972,7.82,1.46,4.444444444444451,136.3
1991-09-06,-1.600785648410763,16.955,7.76,1.5,4.444444444444451,136.3
1991-09-13,-1.4160908967344343,17.6,7.66,1.48,4.674329501915708,136.6
