experiment_name,phase,hidden_size,dropout,learning_rate,encoder_length,attention_heads,batch_size,created_at,best_val_loss,total_epochs,early_stopped,pred_min,pred_max,pred_mean,pred_std,num_unique,num_negative,num_positive,pct_negative,pct_positive,checkpoint_selected,checkpoint_epoch,test_mse,test_rmse,test_mae,test_r2,dir_acc,sharpe_ratio,max_drawdown,total_return,num_trades,precision,recall,f1_score,auc_roc,alpha,hit_rate,healthy_pct,degraded_pct,unidirectional_pct,weak_collapse_pct,strong_collapse_pct,healthy_days,degraded_days,unidirectional_days,weak_collapse_days,strong_collapse_days,has_any_collapse,has_strong_collapse,has_degradation,has_unidirectional,problematic_pct,predicted_down,predicted_up,pct_down_predictions,pct_up_predictions,evaluated,collapsed,evaluation_type,selection_warning,n_folds,dir_acc_std,sharpe_std,healthy_pct_std,fold_years,checkpoint_epoch_min,checkpoint_epoch_max,composite_score
exp001_baseline,00_baseline_exploration,32,0.15,0.001,20,2,64,2025-10-29T17:24:47.172295,0.39423084259033203,48,True,-0.057795,0.332268,0.10518,0.067879,1280.0,77.0,1203.0,6.015625,93.984375,default,34.0,1.176902174949646,1.0848512649536133,0.7738154530525208,-0.00011909008026123047,0.5265625,0.7697217541762329,-0.24135597050189972,0.7995294332504272,1203.0,0.5336658354114713,0.9344978165938864,0.6793650793650793,0.5018913034406749,-0.12207865715026855,0.5015625,30.234375000000004,7.03125,62.734375,0.0,0.0,387.0,90.0,803.0,0.0,0.0,False,False,True,True,69.765625,77.0,1203.0,0.06015625,0.93984375,True,False,standard,,,,,,,,,0.5284538034406749
exp002_small,00_baseline_exploration,16,0.15,0.001,20,2,64,2025-10-29T17:24:49.245200,0.40068119764328003,51,True,-0.113902,0.334301,0.078949,0.069927,1280.0,191.0,1089.0,14.921875000000002,85.078125,default,47.0,1.1725597381591797,1.0828479528427124,0.7709203958511353,0.003571033477783203,0.5375,0.9489821276181274,-0.19335544109344482,1.0041823387145996,1089.0,0.5436179981634527,0.8617176128093159,0.6666666666666666,0.5227950543826447,0.08257424831390381,0.4625,43.4375,5.390625,51.171875,0.0,0.0,556.0,69.0,655.0,0.0,0.0,False,False,True,True,56.5625,191.0,1089.0,0.14921875,0.85078125,True,False,standard,,,,,,,,,0.5602950543826447
exp003_large,00_baseline_exploration,64,0.15,0.001,20,2,64,2025-10-29T17:24:51.537678,0.3922594487667084,43,True,-0.201462,0.284872,0.098703,0.07009,1280.0,80.0,1200.0,6.25,93.75,default,31.0,1.1891038417816162,1.0904604196548462,0.7764203548431396,-0.010487914085388184,0.51484375,0.5491898593321413,-0.2524605989456177,0.46581149101257324,1200.0,0.5275,0.9213973799126638,0.670906200317965,0.48869513563137135,-0.45579659938812256,0.49453125,13.359375000000002,16.71875,69.921875,0.0,0.0,171.0,214.0,895.0,0.0,0.0,False,False,True,True,86.640625,80.0,1200.0,0.0625,0.9375,True,False,standard,,,,,,,,,0.5035388856313714
exp004_attn1,00_baseline_exploration,32,0.15,0.001,20,1,64,2025-10-29T17:24:53.849316,0.393707275390625,38,True,-0.131112,0.264005,0.076798,0.05508,1280.0,37.0,1243.0,2.890625,97.109375,default,27.0,1.1753171682357788,1.084120512008667,0.7732990980148315,0.0012277960777282715,0.5328125,0.7652061596652693,-0.24038992822170258,0.7976610660552979,1243.0,0.5358004827031375,0.9694323144104804,0.6901554404145077,0.49169962026652525,-0.12394702434539795,0.5203125,31.5625,4.84375,63.59375000000001,0.0,0.0,404.0,62.0,814.0,0.0,0.0,False,False,True,True,68.4375,37.0,1243.0,0.02890625,0.97109375,True,False,standard,,,,,,,,,0.5245121202665253
exp005_attn4,00_baseline_exploration,32,0.15,0.001,20,4,64,2025-10-29T17:24:55.924480,0.3964081406593323,40,True,-0.143688,0.306421,0.021703,0.068749,1280.0,425.0,855.0,33.203125,66.796875,default,26.0,1.17354154586792,1.0833011865615845,0.7731990814208984,0.002736687660217285,0.5265625,0.9715244996085568,-0.19083577394485474,0.9285787343978882,855.0,0.5473684210526316,0.6812227074235808,0.6070038910505836,0.5201293106622384,0.006970643997192383,0.365625,51.87500000000001,17.578125,28.281250000000004,2.265625,0.0,664.0,225.0,362.0,29.0,0.0,True,False,True,True,48.125,425.0,855.0,0.33203125,0.66796875,True,False,standard,,,,,,,,,0.5466918106622385
exp006_monthly,00_baseline_exploration,32,0.15,0.001,12,2,64,2025-10-29T17:24:58.021191,1.720292091369629,74,True,1.177493,1.264809,1.201504,0.016072,51.0,0.0,51.0,0.0,100.0,default,62.0,21.161169052124023,4.600127220153809,3.790424346923828,-0.0019049644470214844,0.6274509803921569,3.274471076839194,-0.24769513309001923,0.5335338115692139,51.0,0.6274509803921569,1.0,0.7710843373493976,0.5657894736842106,0.0,0.6274509803921569,58.82352941176471,0.0,41.17647058823529,0.0,0.0,30.0,0.0,21.0,0.0,0.0,False,False,False,True,41.17647058823529,0.0,51.0,0.0,1.0,True,True,standard,,,,,,,,,0.6932404540763675
sweep2_combo1,00_baseline_exploration,12,0.2,0.0004,40,2,64,2025-10-29T17:25:00.168726,0.3973938226699829,100,False,-0.019954,0.213426,0.069137,0.035913,1260.0,17.0,1243.0,1.3492063492063493,98.65079365079364,default,95.0,1.1638619899749756,1.0788244009017944,0.7693415284156799,0.0025281310081481934,0.530952380952381,0.7907138457755453,-0.25245994329452515,0.8278985023498535,1243.0,0.5333869670152857,0.983679525222552,0.6917057902973396,0.5025597269624573,-0.09614408016204834,0.5261904761904762,9.841269841269842,1.507936507936508,85.79365079365078,1.8253968253968256,1.0317460317460316,124.0,19.0,1081.0,23.0,13.0,True,True,True,True,90.15873015873015,17.0,1243.0,0.013492063492063493,0.9865079365079366,True,True,standard,,,,,,,,,0.5335121079148383
sweep2_combo2,00_baseline_exploration,10,0.15,0.0005,30,2,64,2025-10-29T17:25:02.492003,0.402525395154953,91,True,-0.050932,0.186949,0.038899,0.046706,1270.0,311.0,959.0,24.488188976377952,75.51181102362204,default,83.0,1.1802077293395996,1.0863736867904663,0.7752647995948792,0.0027393698692321777,0.5338582677165354,0.9090400093512463,-0.18902239203453064,0.9302901029586792,959.0,0.5453597497393118,0.7702503681885126,0.6385836385836386,0.5047858276703323,0.08326244354248047,0.41181102362204725,44.960629921259844,9.84251968503937,40.94488188976378,1.574803149606299,2.677165354330709,571.0,125.0,520.0,20.0,34.0,True,True,True,True,55.039370078740156,311.0,959.0,0.24488188976377953,0.7551181102362204,True,True,standard,,,,,,,,,0.5386440953868677
sweep2_combo3,00_baseline_exploration,18,0.25,0.0003,30,2,64,2025-10-29T17:25:04.603149,0.3973490297794342,100,False,0.043918,0.292909,0.077144,0.031594,1270.0,0.0,1270.0,0.0,100.0,default,97.0,1.1812355518341064,1.0868465900421143,0.7753164172172546,0.0018708109855651855,0.5346456692913386,0.7914648875824186,-0.2524600923061371,0.8470276594161987,1270.0,0.5346456692913386,1.0,0.6967675731144177,0.4697213230365148,0.0,0.5346456692913386,2.3622047244094486,0.0,76.69291338582677,6.6141732283464565,14.330708661417324,30.0,0.0,974.0,84.0,182.0,True,True,False,True,97.63779527559055,0.0,1270.0,0.0,1.0,True,True,standard,,,,,,,,,0.5043669923278534
sweep2_h16_drop_0.05,00_baseline_exploration,16,0.05,0.0005,20,2,64,2025-10-29T17:25:06.444912,0.4024626612663269,58,True,-0.171759,0.36483,0.039751,0.06868,1280.0,329.0,951.0,25.703125,74.296875,default,40.0,1.1721553802490234,1.0826612710952759,0.772081732749939,0.00391465425491333,0.5296875,0.8048062877928472,-0.1753367781639099,0.714472770690918,951.0,0.544689800210305,0.7540029112081513,0.6324786324786325,0.5231853428278975,-0.20713531970977783,0.4046875,61.64062500000001,14.609375,21.5625,2.1875,0.0,789.0,187.0,276.0,28.0,0.0,True,False,True,True,38.359375,329.0,951.0,0.25703125,0.74296875,True,False,standard,,,,,,,,,0.5528728428278975
